Company_Name,Phone,Website,Email,City,Province,Service_Area_Cities,Brands_Installed,Services,Google_Maps_Link,Notes,Verification_Status
ROMA Heating & Cooling,+1-604-924-7273,romaheating.ca,info@romaheating.ca,Burnaby,BC,"Vancouver, Burnaby, Surrey, Richmond, Coquitlam, Langley, Delta, North Vancouver, West Vancouver","Mitsubishi, Daikin, Lennox, Trane, Carrier, Fujitsu, Bosch, LG","Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=ROMA+Heating+Cooling+2800+Douglas+Rd+Burnaby+BC,Serving Metro Vancouver since 1999; 50 staff; Red Seal certified; residential + commercial + government; boiler services; 24/7; CAUTION: shares listed address with HeatLand and Nest Heating,Verified_Website
Eco Pro Heating & Cooling,+1-604-725-4485,ecoproheating.ca,contact@ecoproheating.ca,North Vancouver,BC,"Vancouver, North Vancouver, West Vancouver, Burnaby",,Heat Pumps,https://maps.google.com/?q=Eco+Pro+Heating+Cooling+130+Lonsdale+Ave+North+Vancouver+BC,20+ years experience; 300+ 5-star reviews; CleanBC certified; ductless mini-split + central air-source + hybrid dual-fuel,Verified_Website
Greentech Air Conditioning and Heating,+1-604-493-2033,greentechhvacsystems.com,,North Vancouver,BC,"Vancouver, North Vancouver, Burnaby, Coquitlam, Whistler, Lower Mainland",Daikin,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Greentech+Air+Conditioning+Heating+1863+Welch+St+North+Vancouver+BC,BBB Accredited A+; Daikin ductless and central; 18-20 SEER; residential and commercial; boiler services noted,Verified_Website
TEK Climate Heating & Air Conditioning,+1-778-245-4822,tekclimate.ca,,Maple Ridge,BC,"Vancouver, North Vancouver, Maple Ridge, Burnaby, Lower Mainland",Lennox,Heat Pumps,https://maps.google.com/?q=TEK+Climate+Heating+Air+Conditioning+Maple+Ridge+BC,Lennox Authorized Dealer; 4.9/5 rating 328 Google reviews; 2 locations; furnace + boiler + heat pump + generator,Verified_Website
Moore & Russell Heating and Air Conditioning,+1-604-243-2833,mrheating.com,,Port Coquitlam,BC,"Vancouver, Port Coquitlam, Coquitlam, Burnaby, Surrey",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Moore+Russell+Heating+575+Seaborne+Ave+Port+Coquitlam+BC,4.7/5 with 2555+ Google reviews; 24/7 emergency; plumbing and electrical services also offered,Verified_Website
Combined Comfort Systems,+1-604-514-1132,vancouverheatpumps.ca,info@combinedcomfortsystems.com,Surrey,BC,"Vancouver, North Vancouver, West Vancouver, Surrey, Lower Mainland",Mitsubishi,Heat Pumps,https://maps.google.com/?q=Combined+Comfort+Systems+106+Enterprise+Way+Surrey+BC,Mitsubishi Zuba-Central and Zuba-Multi specialist; handles CleanBC and City of Vancouver rebate paperwork; residential focus,Verified_Website
Cascadia HVAC,+1-604-359-0997,cascadiahvac.com,cascadiaenergygroup@gmail.com,Vancouver,BC,"Vancouver, North Vancouver, Burnaby, Sea to Sky Corridor, Lower Mainland",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Cascadia+HVAC+999+W+Broadway+Vancouver+BC,Full-electric heat pump focus; HRV installation; locally owned; Mon-Fri 8:30-5PM,Verified_Website
Penguin HVAC,+1-778-653-3044,penguinhvac.ca,info@penguinhvac.ca,Burnaby,BC,"Vancouver, Burnaby, Lower Mainland",Daikin,Heat Pumps,https://maps.google.com/?q=Penguin+HVAC+7777+Royal+Oak+Ave+Burnaby+BC,Founded 2019; Daikin premier brand with 10-year warranty; residential and commercial; $6K-$20K range noted,Verified_Website
BCRC Heating and Cooling,+1-604-781-7272,bcrcheating.com,bcrc.p.h@gmail.com,Burnaby,BC,"Vancouver, Burnaby, Coquitlam",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=BCRC+Heating+Cooling+6851+Sellers+Ave+Burnaby+BC,FortisBC Trade Ally; 10+ years experience; 24/7; boiler installation offered,Verified_Website
VanHeat Services,+1-604-281-4790,vanheatservices.com,,North Vancouver,BC,"Vancouver, North Vancouver, Coquitlam, Metro Vancouver",Lennox,Heat Pumps,https://maps.google.com/?q=VanHeat+Services+220+145+Chadwick+Court+North+Vancouver+BC,18+ years experience; Lennox dealer; 24/7 furnace repair; residential and light commercial,Verified_Website
HeatLand Heating & Air Conditioning,+1-604-330-3812,heatland.ca,info@heatland.ca,Burnaby,BC,"Vancouver, Burnaby, Surrey, Richmond, Coquitlam, Langley, Delta","Lennox, Trane",Heat Pumps,https://maps.google.com/?q=HeatLand+Heating+2800+Douglas+Rd+Burnaby+BC,Lennox Premier Dealer; FortisBC Trade Ally; BC Safety Authority member; CAUTION: shares listed address with ROMA Heating and Nest Heating — recommend independent verification,Verified_Website
Nest Heating & Air Conditioning,+1-604-210-8817,nestheating.ca,info@nestheating.ca,Burnaby,BC,"Vancouver, Burnaby, Richmond, Surrey, Coquitlam, Langley, North Vancouver, West Vancouver, Delta, Maple Ridge, Abbotsford","Lennox, Navien","Heat Pumps, Hydronics",https://maps.google.com/?q=Nest+Heating+2800+Douglas+Rd+Burnaby+BC,Lennox Authorized Dealer; tankless water heater services; 10+ years; CAUTION: shares listed address with ROMA Heating and HeatLand — recommend independent verification,Verified_Website
Greenfoot Energy Solutions,+1-778-907-1314,greenfootenergy.ca,,Surrey,BC,"Vancouver, Surrey, Burnaby, Coquitlam, North Vancouver, West Vancouver, Richmond, Langley, Delta, Maple Ridge, Squamish","Mitsubishi, Nordic (Geothermal)","Heat Pumps, Air-to-Water",https://maps.google.com/?q=Greenfoot+Energy+Solutions+3475+194+Street+Surrey+BC,Geothermal/ground-source capability; spray foam insulation; home energy assessments; mini-split + ducted + geothermal systems,Verified_Website
Comfort Plus Heating and Air Conditioning,+1-604-554-7587,comfortplus.ca,,Port Coquitlam,BC,"Vancouver, Coquitlam, Port Coquitlam, Burnaby, Richmond, Surrey, Langley, Delta, Chilliwack","Daikin, Carrier",Heat Pumps,https://maps.google.com/?q=Comfort+Plus+Heating+1628+Kebet+Way+Port+Coquitlam+BC,Carrier and Daikin dealer; plumbing + electrical also offered; rebate assistance; financing via FinanceIt,Verified_Website
Knowledge HVAC & Refrigeration Ltd.,+1-778-522-5669,knowledgehvacr.ca,info@knowledgehvacr.ca,Surrey,BC,"Vancouver, Lower Mainland, Fraser Valley",,"Heat Pumps, VRF",https://maps.google.com/?q=Knowledge+HVAC+Refrigeration+13909+102+Ave+Surrey+BC,BCIT and JARTS trained; FortisBC Trade Ally; commercial refrigeration; VRF experience confirmed; 24/7 emergency; 1000+ clients served,Verified_Website
Ariana Heating & Air Conditioning Ltd.,+1-778-861-7120,arianaheating.ca,info@arianaheating.ca,Maple Ridge,BC,"Vancouver, Maple Ridge, Port Coquitlam, Lower Mainland",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Ariana+Heating+12409+214+St+Maple+Ridge+BC,Founded 2006; all brands; gas/oil/electric furnaces + water heaters + boilers + heat pumps; 24/7 emergency,Verified_Website
Ashton Plumbing Heating & Air Conditioning,+1-604-373-6522,callashton.com,,Richmond,BC,"Vancouver, Richmond, Burnaby, Surrey, Lower Mainland",Mitsubishi,Heat Pumps,https://maps.google.com/?q=Ashton+Plumbing+Heating+4631+Shell+Rd+Richmond+BC,Founded 1987; 4.7/5 with 3508 reviews; Mitsubishi Mr. Slim specialist; full plumbing + HVAC + electrical; residential and commercial,Verified_Website
Northwind Heating Cooling and Fireplace Showroom,+1-604-572-7944,northwindheating.com,northwindheating@shaw.ca,Surrey,BC,"Surrey, Langley, Delta, White Rock, Lower Mainland","Daikin, Lennox","Heat Pumps, Gas Backup",https://maps.google.com/?q=Northwind+Heating+14772+64+Ave+Surrey+BC,BBB Accredited A+; Daikin Authorized Dealer; in business since 1989; ducted and ductless; fireplace showroom; rebate assistance; FortisBC partner,Verified_Website
Parkinson's Heating Ltd.,+1-604-599-8444,parkinsonsheating.com,comfort@parkinsonsheating.com,Surrey,BC,"Surrey, Langley, Delta, Lower Mainland",Lennox,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Parkinsons+Heating+7566+134A+St+Surrey+BC,Lennox and Valor Authorized Dealer; serving Lower Mainland since 1947; gas fitters licensed and bonded; Home Performance Contractor Network registered; boiler and air handler experience,Verified_Website
John Sadler Plumbing & Heating,+1-604-531-4355,johnsadler.ca,info@johnsadler.ca,Surrey,BC,"Surrey, South Surrey, White Rock, Langley, North Delta, Cloverdale, Fleetwood","Carrier, Trane, Lennox, Daikin, Goodman, Rheem","Heat Pumps, Hydronics",https://maps.google.com/?q=John+Sadler+Plumbing+Heating+3739+155+St+Surrey+BC,Family owned since 1976; multi-brand installer; plumbing + heating combined; strata and residential,Verified_Website
Nation Furnace Heating & Air Conditioning HVAC Ltd.,+1-604-299-5006,nationheating.ca,info@nationheating.ca,Burnaby,BC,"Surrey, Burnaby, Vancouver, Coquitlam, New Westminster, Langley",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Nation+Furnace+Heating+8028+128+St+Surrey+BC,Serving Metro Vancouver since 2003; residential and commercial; boiler + furnace + heat pump + gas fireplace + air duct services; Mon-Sun 8AM-8PM,Verified_Website
