company_name,slug,website,phone,city,region,services,emergency_service,brands_supported,notes,source_urls,tsbc_verified,tsbc_fsr_license,tsbc_gas_license,tsbc_electrical_license,tsbc_license_status,tsbc_enforcement_actions,tsbc_last_verified,ems_certified,strata_approved,cold_climate_pro
ROMA Heating & Cooling,roma-heating-cooling,https://romaheating.ca,+1-604-924-7273,Burnaby,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,"Mitsubishi, Daikin, Lennox, Trane, Carrier, Fujitsu, Bosch, LG","Service area: Vancouver, Burnaby, Surrey, Richmond, Coquitlam, Langley, Delta, North Vancouver, West Vancouver. Serving Metro Vancouver since 1999; 50 staff; Red Seal certified; residential + commercial + government; boiler services; 24/7; CAUTION: shares listed address with HeatLand and Nest Heating",,FALSE,,,,unknown,0,,TRUE,TRUE,FALSE
Eco Pro Heating & Cooling,eco-pro-heating-cooling,https://ecoproheating.ca,+1-604-725-4485,North Vancouver,Lower Mainland,heat_pumps,unknown,,"Service area: Vancouver, North Vancouver, West Vancouver, Burnaby. 20+ years experience; 300+ 5-star reviews; CleanBC certified; ductless mini-split + central air-source + hybrid dual-fuel",,FALSE,,,,unknown,0,,FALSE,TRUE,FALSE
Greentech Air Conditioning and Heating,greentech-air-conditioning-and-heating,https://greentechhvacsystems.com,+1-604-493-2033,North Vancouver,Lower Mainland,"heat_pumps, hybrid",unknown,Daikin,"Service area: Vancouver, North Vancouver, Burnaby, Coquitlam, Whistler, Lower Mainland. BBB Accredited A+; Daikin ductless and central; 18-20 SEER; residential and commercial; boiler services noted",,FALSE,,,,unknown,0,,FALSE,TRUE,FALSE
TEK Climate Heating & Air Conditioning,tek-climate-heating-air-conditioning,https://tekclimate.ca,+1-778-245-4822,Maple Ridge,Lower Mainland,heat_pumps,unknown,Lennox,"Service area: Vancouver, North Vancouver, Maple Ridge, Burnaby, Lower Mainland. Lennox Authorized Dealer; 4.9/5 rating 328 Google reviews; 2 locations; furnace + boiler + heat pump + generator",,FALSE,,,,unknown,0,,TRUE,FALSE,FALSE
Moore & Russell Heating and Air Conditioning,moore-russell-heating-and-air-conditioning,https://mrheating.com,+1-604-243-2833,Port Coquitlam,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Vancouver, Port Coquitlam, Coquitlam, Burnaby, Surrey. 4.7/5 with 2555+ Google reviews; 24/7 emergency; plumbing and electrical services also offered",,FALSE,,,,unknown,0,,TRUE,TRUE,FALSE
Combined Comfort Systems,combined-comfort-systems,https://vancouverheatpumps.ca,+1-604-514-1132,Surrey,Lower Mainland,heat_pumps,unknown,Mitsubishi,"Service area: Vancouver, North Vancouver, West Vancouver, Surrey, Lower Mainland. Mitsubishi Zuba-Central and Zuba-Multi specialist; handles CleanBC and City of Vancouver rebate paperwork; residential focus",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Cascadia HVAC,cascadia-hvac,https://cascadiahvac.com,+1-604-359-0997,Vancouver,Lower Mainland,"heat_pumps, hybrid",unknown,,"Service area: Vancouver, North Vancouver, Burnaby, Sea to Sky Corridor, Lower Mainland. Full-electric heat pump focus; HRV installation; locally owned; Mon-Fri 8:30-5PM",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
Penguin HVAC,penguin-hvac,https://penguinhvac.ca,+1-778-653-3044,Burnaby,Lower Mainland,heat_pumps,unknown,Daikin,"Service area: Vancouver, Burnaby, Lower Mainland. Founded 2019; Daikin premier brand with 10-year warranty; residential and commercial; $6K-$20K range noted",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
BCRC Heating and Cooling,bcrc-heating-and-cooling,https://bcrcheating.com,+1-604-781-7272,Burnaby,Lower Mainland,"heat_pumps, hybrid, boilers",unknown,,"Service area: Vancouver, Burnaby, Coquitlam. FortisBC Trade Ally; 10+ years experience; 24/7; boiler installation offered",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
VanHeat Services,vanheat-services,https://vanheatservices.com,+1-604-281-4790,North Vancouver,Lower Mainland,heat_pumps,unknown,Lennox,"Service area: Vancouver, North Vancouver, Coquitlam, Metro Vancouver. 18+ years experience; Lennox dealer; 24/7 furnace repair; residential and light commercial",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
HeatLand Heating & Air Conditioning,heatland-heating-air-conditioning,https://heatland.ca,+1-604-330-3812,Burnaby,Lower Mainland,heat_pumps,unknown,"Lennox, Trane","Service area: Vancouver, Burnaby, Surrey, Richmond, Coquitlam, Langley, Delta. Lennox Premier Dealer; FortisBC Trade Ally; BC Safety Authority member; CAUTION: shares listed address with ROMA Heating and Nest Heating — recommend independent verification",,FALSE,,,,unknown,0,,FALSE,FALSE,FALSE
